onset	duration	sample	trial_type	response_time	stim_file	value
902.1700000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
902.5420000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
904.5960000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
905.9580000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
906.3300000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
908.3840000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
909.7460000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
910.1780000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
912.2320000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
912.9920000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
913.5460000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
915.6000000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
916.7760000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
917.3100000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
919.3620000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
920.3560000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
920.7420000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
922.7960000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
923.7520000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
924.1460000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
926.2000000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
927.2280000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
927.7720000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
929.8260000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
930.8440000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
931.3480000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
933.4020000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
934.6840000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
935.1580000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
937.2100000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
939.7960000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
940.3500000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
942.4040000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
943.0480000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
943.4920000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
945.5440000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
947.0360000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
947.5600000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
949.6120000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
950.2840000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
950.8300000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
952.8840000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
954.1880000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
954.7120000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
956.7660000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
